tilltalsnamn,2014,2015,2016,2017,2018,2019
Aada,0,0,0,0,0,0
Aadam,0,0,2,0,2,2
Aadhya,2,2,0,0,2,0
Aadil,0,0,0,0,0,0
Aadvik,0,0,0,2,2,0
Aadya,0,0,2,0,0,0
Aahana,0,0,0,2,0,0
Aahil,0,2,0,0,0,2
Aaila,0,0,0,2,0,0
Aaira,0,2,0,0,0,2
Aairah,0,2,0,0,0,0
Aaisha,2,0,0,0,0,0
Aalaa,0,0,0,2,0,0
Aaleyah,0,0,2,2,0,0
Aalia,3,0,2,0,2,0
Aaliya,2,4,4,4,0,0
Aaliyah,6,14,10,26,21,26
Aamina,0,2,0,0,0,0
Aamir,0,0,0,2,0,2
Aamna,0,0,0,0,0,0
Aaradhya,0,0,0,0,0,0
Aarav,2,4,0,5,2,0
Aariz,4,5,2,2,2,2
Aarna,0,2,0,0,0,2
Aaro,0,0,0,0,0,0
Aarohi,0,2,0,0,0,0
Aaron,68,63,79,82,81,96
Aarón,0,2,0,0,0,0
Aarush,0,0,2,0,2,0
Aarya,2,0,0,0,2,0
Aaryan,0,0,2,3,0,0
Aashna,0,0,2,0,0,0
Aasia,0,0,0,0,0,0
Aasiya,2,0,2,0,0,0
Aasiyah,0,0,2,0,0,3
Aava,0,0,0,0,0,0
Aayan,4,0,2,5,0,7
Aayat,0,0,0,2,0,0
Abaan,0,0,0,0,0,0
Abaas,0,0,0,2,0,0
Abakir,0,0,0,2,0,2
Abanob,0,0,4,3,8,0
Abanoub,0,0,0,2,6,4
Abas,3,2,0,2,5,0
Abbas,12,16,16,22,15,12
Abbe,55,85,92,88,82,79
Abbie,0,0,2,2,0,0
Abby,0,0,0,2,0,2
Abd,0,0,7,5,6,8
Abd Alaziz,0,0,0,0,0,0
Abd Alrahman,0,2,2,0,0,0
Abdala,0,0,0,2,0,0
Abdalaziz,0,0,0,0,0,0
Abdalla,2,5,5,6,0,4
Abdallah,4,7,10,8,11,3
Abdalrahim,0,0,0,2,0,0
Abdalrahman,0,2,2,2,4,2
Abdalrhman,0,0,2,0,0,2
Abdarahman,0,0,0,0,0,0
Abdel,0,0,0,0,0,0
Abdel Rahman,0,0,0,0,0,0
Abdelaziz,0,0,0,3,0,0
Abdelhamid,0,0,0,0,0,0
Abdelkader,0,0,0,0,0,0
Abdelkarim,0,0,0,0,0,0
Abdelrahman,0,2,2,2,3,2
Abdel-Rahman,0,0,0,0,0,0
Abdi,6,2,0,4,2,0
Abdi Rahman,0,2,0,0,0,0
Abdiaziz,3,3,0,3,2,2
Abdibasid,0,0,2,0,0,2
Abdibasit,0,0,0,2,0,0
Abdifatah,6,2,2,2,3,0
Abdifitah,0,0,0,3,2,0
Abdihafid,3,0,6,5,0,4
Abdihakim,2,3,0,0,0,0
Abdihamid,0,0,0,0,3,0
Abdijamal,2,0,0,0,0,0
Abdijibar,0,0,0,0,0,0
Abdikadir,2,3,0,0,2,0
Abdikafi,3,0,0,2,0,2
Abdikani,0,0,0,0,0,0
Abdikarim,0,4,5,3,0,2
Abdikarin,2,2,0,0,0,0
Abdikhadar,0,0,0,0,2,0
Abdiladif,2,0,0,0,0,0
Abdilahi,2,0,0,0,0,3
Abdillahi,0,2,0,0,0,0
Abdimajid,0,0,2,0,2,0
Abdimalek,0,0,0,0,0,0
Abdimalik,5,6,4,5,4,5
Abdinajib,0,0,0,0,0,0
Abdinasir,3,0,0,5,0,0
Abdinor,2,0,0,0,0,0
Abdinur,0,0,2,0,0,0
Abdiqafar,0,2,0,0,0,0
Abdiqani,2,5,3,2,0,3
Abdirahim,10,4,5,6,3,3
Abdirahin,0,0,0,3,0,0
Abdirahmaan,0,0,4,3,3,0
Abdirahman,53,47,56,48,37,33
Abdirashid,5,0,0,3,2,4
Abdirashiid,0,0,0,2,0,0
Abdirazak,0,0,0,0,0,0
Abdirihin,0,0,0,0,0,0
Abdirisak,7,2,2,0,0,0
Abdirisaq,3,2,0,0,0,0
Abdirizak,0,2,3,0,2,5
Abdisalam,0,0,2,2,0,0
Abdisalan,0,0,2,0,0,0
Abdisamad,0,0,0,4,0,0
Abdisamed,3,0,2,0,0,0
Abdishakur,2,6,3,5,0,3
Abdiwahab,0,0,0,0,0,0
Abdiwahid,0,0,2,2,0,0
Abdo,0,0,4,0,0,0
Abdollah,0,0,0,0,0,0
Abdou,0,0,5,0,0,0
Abdoulie,0,0,0,0,0,2
Abdourahman,3,0,0,0,0,0
Abdrahman,0,0,0,0,0,0
Abduallah,0,0,0,0,0,0
Abdul,3,7,6,3,3,3
Abdul Aziz,0,0,0,0,2,0
Abdul Rahman,0,0,0,0,0,0
Abdul Razak,0,0,2,0,0,0
Abdula,0,0,0,0,0,0
Abdulaahi,2,2,2,0,0,0
Abdulah,0,2,0,0,2,0
Abdulahi,6,8,5,8,8,5
Abdulatif,0,0,0,0,2,0
Abdulaziz,0,5,0,0,5,4
Abdulbari,2,0,0,0,0,0
Abdulghani,0,2,0,2,0,0
Abdulhakim,2,0,0,2,2,0
Abdul-Halim,0,2,0,0,0,0
Abdulhamid,0,0,0,0,2,3
Abdulkader,0,0,3,0,3,0
Abdulkadir,4,3,0,3,2,3
Abdulkarim,0,0,3,4,5,2
Abdulla,5,3,2,0,2,0
Abdullaahi,0,0,2,0,0,0
Abdullah,33,37,29,32,37,21
Abdullahi,34,43,39,29,18,26
Abdullatif,0,0,0,2,0,0
Abdullrahman,0,0,0,0,3,0
Abdullrhman,0,0,0,0,0,0
Abdul-Malik,0,0,2,0,0,0
Abdulqadir,0,0,0,0,3,0
Abdulrahim,2,0,0,0,0,0
Abdulrahman,11,11,25,20,9,19
Abdulrazak,0,0,0,0,2,0
Abdulwahab,0,0,0,2,0,0
Abdurahman,7,5,3,6,2,4
Abdurrahim,0,0,0,0,0,0
Abdurrahman,4,2,4,5,3,0
Abed,6,2,4,3,6,3
