Prodno,Product,Year,Month,Sales,Number_of_items
  E10100 ,ClarencetheCowsmall,2015,January,1590,2
  E10110 ,ClarencetheCowmedium,2015,January,1130,1
  E10120 ,ClarencetheCowlarge,2015,January,3090,2
  E10160 ,ClarencetheCowPlanter,2015,January,4785,3
  E10200 ,BrucetheBullsmall,2015,January,1640,2
  E10230 ,BrucetheBullMailbox,2015,January,1890,1
  E10240 ,BrucetheBullCoolermedium,2015,January,6850,5
  E10250 ,BrucetheBullCoolerlarge,2015,January,13880,8
  E10300 ,RogertheRoostersmall,2015,January,2800,5
  E10310 ,RogertheRoostermedium,2015,January,1430,2
  E10320 ,RogertheRoosterlarge,2015,January,0,0
  E10600 ,TheBlindMouse,2015,January,24700,52
  E10710 ,SidtheSheepsmall,2015,January,3390,3
  E10800 ,MaisytheDaisysmall,2015,January,1440,18
  E10820 ,MaisytheDaisylarge,2015,January,5600,24
  E10900 ,HenrytheHorsesmall,2015,January,5462,4
  E10910 ,HenrytheHorsemedium,2015,January,1370,1
  E11110 ,BillytheGoatmedium,2015,January,1250,1
  E11200 ,HoundDogsmall,2015,January,2070,2
  E11210 ,HoundDogmedium,2015,January,3750,3
  E11300 ,RalphDogsmall,2015,January,3090,3
  E11400 ,Whiskerssmall,2015,January,2985,3
  E11500 ,Tabitha,2015,January,1640,2
  E11600 ,BillytheBabyBird,2015,January,1200,4
  E12100 ,PetethePelican,2015,January,3380,4
  E12200 ,BozotheClownFish,2015,January,515,1
  E12400 ,ArieltheAngelFishsmall,2015,January,990,2
  E13140 ,RingotheRabbit,2015,January,345,1
  E16140 ,ButterflySpheresmall,2015,January,780,1
  E16150 ,ButterflySpherelarge,2015,January,1030,1
  E40101 ,BistroTableMetalTop,2015,January,1170,1
  E40110 ,BistroChair,2015,January,2310,2
  E40210 ,LowLounger,2015,January,2920,2
  E40300 ,BustertheBin,2015,January,1605,1
  E40310 ,KoolKombiBlue,2015,January,22750,7
  E40400 ,ButterflyFramedWallPanel,2015,January,2460,3
  E40410 ,DragonflyFramedWallPanel,2015,January,1640,2
  E40420 ,HotAirBallonsmall,2015,January,1470,2
  E10160 ,ClarencetheCowPlanter,2016,January,1650,1
  E10240 ,BrucetheBullCoolermedium,2016,January,1545,1
  E10410 ,PriscillathePigmedium,2016,January,0,0
  E10600 ,TheBlindMouse,2016,January,2078,4
  E10700 ,SidtheSheeplarge,2016,January,0,0
  E11110 ,BillytheGoatmedium,2016,January,0,0
  E11160 ,BillytheGoatPlantermedium,2016,January,1490,1
  E11260 ,HoundDogPlantermedium,2016,January,1295,1
  E11400 ,Whiskerssmall,2016,January,995,1
  E11500 ,Tabitha,2016,January,865,1
  E11600 ,BillytheBabyBird,2016,January,690,2
  E11710 ,ElietheElephant,2016,January,1310,1
  E11720 ,BubtheBabyElephant,2016,January,820,1
  E12100 ,PetethePelican,2016,January,865,1
  E12200 ,BozotheClownFish,2016,January,545,1
  E12400 ,ArieltheAngelFishsmall,2016,January,518,1
  E40101 ,BistroTableMetalTop,2016,January,0,0
  E40212 ,TheThrone,2016,January,2375,1
  E40213 ,TheThroneFootrest,2016,January,450,1
  E40300 ,BustertheBin,2016,January,1950,1
