,Datum,År,Månad,Dag,Veckodag,Intervall,Inkommande_Total,Inkommande_Besvarade,Inkommande_Kopplade,Inkommande_Tapp1,Inkommande_Tapp2,Väntetid_Besvarade medel,Väntetid_Tapp2 medel,Väntetid_Besvarade max,Ärendetid_Medel,Total3,Total + EFT,Servicegrad (%)
14,2019-01-01,2019,1,1,1,07:00-07:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
15,2019-01-01,2019,1,1,1,07:30-08:00,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
16,2019-01-01,2019,1,1,1,08:00-08:30,0,0,0,0,0,00:00:00,00:00:00,1.00:13:53,00:00:00,00:00:00,00:00:00,0.0
17,2019-01-01,2019,1,1,1,08:30-09:00,0,0,0,0,0,00:00:00,00:00:00,23:31:54,00:00:00,00:00:00,00:00:00,0.0
18,2019-01-01,2019,1,1,1,09:00-09:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
19,2019-01-01,2019,1,1,1,09:30-10:00,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
20,2019-01-01,2019,1,1,1,10:00-10:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
21,2019-01-01,2019,1,1,1,10:30-11:00,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
22,2019-01-01,2019,1,1,1,11:00-11:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
23,2019-01-01,2019,1,1,1,11:30-12:00,0,0,0,0,0,00:00:00,00:00:00,20:30:33,00:00:00,00:00:00,00:00:00,0.0
24,2019-01-01,2019,1,1,1,12:00-12:30,0,0,0,0,0,00:00:00,00:00:00,19:50:39,00:00:00,00:00:00,00:00:00,0.0
25,2019-01-01,2019,1,1,1,12:30-13:00,1,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
26,2019-01-01,2019,1,1,1,13:00-13:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
27,2019-01-01,2019,1,1,1,13:30-14:00,0,0,0,0,0,00:00:00,00:00:00,18:34:15,00:00:00,00:00:00,00:00:00,0.0
28,2019-01-01,2019,1,1,1,14:00-14:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
29,2019-01-01,2019,1,1,1,14:30-15:00,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
30,2019-01-01,2019,1,1,1,15:00-15:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
31,2019-01-01,2019,1,1,1,15:30-16:00,0,0,0,0,0,00:00:00,00:00:00,16:37:47,00:00:00,00:00:00,00:00:00,0.0
32,2019-01-01,2019,1,1,1,16:00-16:30,0,0,0,0,0,00:00:00,00:00:00,16:14:03,00:00:00,00:00:00,00:00:00,0.0
33,2019-01-01,2019,1,1,1,16:30-17:00,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
34,2019-01-01,2019,1,1,1,17:00-17:30,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
35,2019-01-01,2019,1,1,1,17:30-18:00,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0.0
62,2019-01-02,2019,1,2,2,07:00-07:30,0,0,0,0,0,00:00:00,00:00:00,01:16:15,00:00:00,00:00:00,00:00:00,0.0
63,2019-01-02,2019,1,2,2,07:30-08:00,0,0,0,0,0,00:00:00,00:00:00,00:39:00,00:00:00,00:00:00,00:00:00,0.0
64,2019-01-02,2019,1,2,2,08:00-08:30,50,50,46,0,0,00:00:47,00:00:00,00:13:59,00:00:28,00:23:49,00:24:55,92.0
65,2019-01-02,2019,1,2,2,08:30-09:00,38,38,35,0,0,00:00:57,00:00:00,00:17:29,00:00:30,00:19:02,00:19:16,100.0
66,2019-01-02,2019,1,2,2,09:00-09:30,76,75,71,0,1,00:00:35,00:00:26,00:01:36,00:00:35,00:44:38,00:45:14,49.3
67,2019-01-02,2019,1,2,2,09:30-10:00,93,92,90,1,0,00:00:09,00:00:00,00:01:04,00:00:36,00:55:36,00:56:44,92.4
68,2019-01-02,2019,1,2,2,10:00-10:30,103,103,98,0,0,00:00:36,00:00:00,00:08:25,00:00:34,00:58:58,01:01:13,57.3
69,2019-01-02,2019,1,2,2,10:30-11:00,79,78,75,0,1,00:00:11,00:00:26,00:01:19,00:00:42,00:55:12,00:56:14,98.7
70,2019-01-02,2019,1,2,2,11:00-11:30,83,82,78,1,0,00:00:12,00:00:00,00:08:04,00:00:42,00:57:52,01:01:21,96.3
71,2019-01-02,2019,1,2,2,11:30-12:00,103,103,98,0,0,00:00:22,00:00:00,00:08:19,00:00:33,00:58:06,00:59:43,85.4
72,2019-01-02,2019,1,2,2,12:00-12:30,78,76,71,1,1,00:01:01,00:00:55,00:03:00,00:00:36,00:46:19,00:46:34,35.1
73,2019-01-02,2019,1,2,2,12:30-13:00,67,66,64,0,1,00:00:28,00:00:34,00:02:02,00:00:40,00:44:58,00:45:16,61.2
74,2019-01-02,2019,1,2,2,13:00-13:30,96,85,70,0,11,00:02:36,00:01:10,00:22:26,00:00:54,01:17:53,01:19:17,21.5
75,2019-01-02,2019,1,2,2,13:30-14:00,67,65,57,1,1,00:01:20,00:01:18,00:06:46,00:00:43,00:46:41,00:47:30,39.4
